domain_id,subdomain_id,facet_id,method,rank,text,passed
1,1.1,1.1.1,gemma,1,bijhouden wat er wordt uitgelegd tijdens de les,True
1,1.1,1.1.2,gemma,2,een taak met behulp van woordenlijsten uitvoeren,True
1,1.1,1.1.3,gemma,3,ideeën delen voor de presentatie,True
1,1.1,1.1.4,gemma,4,lesnotities doornemen en samenvatten,True
1,1.1,1.1.5,gemma,5,naar een digitale les inloggen,True
1,1.1,1.1.6,gemma,6,strategieën zoeken om een moeilijk puzzel te kunnen aanpakken,True
1,1.1,1.1.7,gemma,7,een eigen lied componeren met verschillende melodieën,True
1,1.2,1.2.1,gemma,8,je spullen klaarleggen voor de volgende les,True
1,1.2,1.2.2,gemma,9,het resultaat van je examen bekijken,True
1,1.2,1.2.3,gemma,10,een document ordenen op alfabet,True
1,1.2,1.2.4,gemma,11,aanmoedigen tijdens een wedstrijd tussen klassen,True
1,1.3,1.3.1,gemma,12,de leerkracht om uitleg vragen,True
1,1.3,1.3.2,gemma,13,een grap vertellen aan een klasgenoot,True
1,1.3,1.3.3,gemma,14,samen een kring vormen voor de les,True
1,1.3,1.3.4,gemma,15,meer informatie over de schoolkeuze krijgen,True
2,2.1,2.1.1,gemma,16,de huid goed afdrogen,True
2,2.1,2.1.2,gemma,17,een lekkere maaltijd klaarmaken,True
2,2.1,2.1.3,gemma,18,ramen schoonmaken met een doekje,True
2,2.1,2.1.4,gemma,19,kleren voor morgen sorteren in de kast,True
2,2.1,2.1.5,gemma,20,ouders helpen met de was opvouwen,True
2,2.2,2.2.1,gemma,21,vragen om advies over een probleem met vrienden,True
2,2.2,2.2.2,gemma,22,delen van je spullen met je broer of zus,True
2,2.2,2.2.3,gemma,23,meegaan op visite bij oom en tante,True
2,2.2,2.2.4,gemma,24,plezier hebben tijdens gezinstijd,True
2,2.3,2.3.1,gemma,25,informeren over de tijd die wordt gebruikt,True
2,2.3,2.3.2,gemma,26,privacy nodig hebben om te kunnen denken,True
2,2.3,2.3.3,gemma,27,vragen of jullie afspraken kunnen maken over gezinstijd,True
2,2.3,2.3.4,gemma,28,zelf een plan maken voor een activiteit,True
3,3.1,3.1.1,gemma,29,een geheim delen met iemand vertrouwd,True
3,3.1,3.1.2,gemma,30,organiseren van een activiteit voor je groep vrienden,True
